,Neighborhood,Total Pop.,18-19,20-24,25-29,30-34,35-44,45-54,55-64,65-74,75-84
0,Roslindale,30205,0.0,0.001,0.001,0.001,0.006,0.005,0.002,0.001,0.0
1,Jamaica Plain,43866,0.002,0.004,0.009,0.006,0.013,0.005,0.003,0.002,0.001
2,Mission Hill,14248,0.01,0.049,0.057,0.009,0.018,0.008,0.01,0.004,0.003
3,Longwood,6549,0.031,0.066,0.033,0.007,0.019,0.012,0.006,0.004,0.004
4,Bay Village,1465,0.005,0.008,0.023,0.016,0.021,0.036,0.04,0.027,0.023
5,Leather District,621,0.014,0.018,0.032,0.035,0.053,0.047,0.061,0.047,0.04
6,Chinatown,3113,0.013,0.016,0.032,0.033,0.05,0.046,0.06,0.046,0.039
7,North End,6784,0.0,0.003,0.012,0.005,0.006,0.0,0.007,0.0,0.0
8,Roxbury,53772,0.006,0.009,0.005,0.003,0.003,0.003,0.004,0.002,0.001
9,South End,24202,0.003,0.006,0.023,0.017,0.017,0.02,0.021,0.017,0.01
10,Back Bay,20755,0.01,0.026,0.021,0.016,0.02,0.006,0.005,0.006,0.004
11,East Boston,33911,0.001,0.002,0.005,0.005,0.006,0.005,0.006,0.002,0.002
12,Charlestown,16296,0.003,0.003,0.004,0.007,0.012,0.014,0.009,0.002,0.003
13,West End,6228,0.003,0.008,0.023,0.023,0.023,0.005,0.005,0.007,0.011
14,Beacon Hill,8929,0.001,0.002,0.012,0.019,0.01,0.003,0.002,0.001,0.002
15,Downtown,13835,0.008,0.01,0.023,0.03,0.034,0.026,0.03,0.021,0.02
16,Fenway,32157,0.047,0.075,0.033,0.014,0.008,0.006,0.004,0.007,0.004
17,Brighton,48557,0.004,0.019,0.022,0.018,0.018,0.012,0.011,0.013,0.009
18,West Roxbury,33439,0.001,0.001,0.003,0.007,0.014,0.017,0.012,0.002,0.003
19,Hyde Park,37974,0.0,0.0,0.001,0.001,0.006,0.002,0.002,0.002,0.001
20,Mattapan,26841,0.0,0.003,0.002,0.003,0.003,0.004,0.004,0.0,0.001
21,Dorchester,122532,0.003,0.004,0.009,0.011,0.012,0.016,0.01,0.009,0.003
22,South Boston Waterfront,6343,0.001,0.004,0.016,0.009,0.016,0.012,0.004,0.006,0.004
23,South Boston,36371,0.001,0.003,0.009,0.006,0.006,0.012,0.009,0.003,0.006
24,Allston,26649,0.023,0.069,0.063,0.03,0.011,0.011,0.01,0.004,0.002
25,Harbor Islands,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
