,word0,word1,word2,word3,word4,word5
0,brighton,dorchester,cambridge,quincy,brookline,lynn
1,allston,quincy,brookline,fitchburg,cambridge,medford
2,fenway,harambee,hemenway,orchard,madison,squantum
3,downtown,grafton,buzzards,waterfront,berkshires,rumor
4,charlestown,quincy,dorchester,cambridge,brighton,adams
5,waterfront,downtown,area,pike,musicals,façade
6,roxbury,mattapan,dorchester,africa,selden,texas
7,dorchester,roxbury,mattapan,brighton,medford,quincy
8,mattapan,roxbury,dorchester,brighton,roslindale,cambridge
9,roslindale,brockton,dorchester,watertown,somerville,revere
10,brockton,roslindale,milton,dorchester,newton,vassar
11,dorchester,roxbury,mattapan,brighton,medford,quincy
12,watertown,roslindale,quincy,pike,somerville,topsfield
13,somerville,medford,chelsea,everett,dorchester,brockton
14,revere,pembroke,brookline,roslindale,randolph,everett
