,word0,word1,word2,word3,word4,word5
0,dorchester,west_roxbury,hyde_park,jamaica_plain,humboldt,brighton
1,roxbury,dorchester,mattapan,east_boston,west_roxbury,brighton
2,mattapan,roxbury,hyde_park,jamaica_plain,lisbon,dorchester
3,hyde_park,dorchester,roslindale,west_roxbury,home,humboldt
4,fenway,puddingstone,techboston,plazaboston,madison,harrah’s
5,beacon_hill,downtown,steamrolled,consolidate,democrat,charter
6,downtown,terrace,somerville,ruggles,weymouth,bayside
7,south_boston,dorchester,orchard,west_roxbury,humboldt,pasciusso
8,east_boston,roxbury,mckinley,dorchester,brighton,gallagher’s
9,back_bay,centre,courtyard,teele,welles,bolling
10,jamaica_plain,dorchester,mattapan,richmond,hq,brighton
11,south_end,dorchester,eire,brighton,tremont,hyde_park
12,charlestown,preparatory,bunker,fort,easton,sion
13,brighton,dorchester,allston,roxbury,columbus,hq
14,allston,brighton,spacious,1816,warehouse,elizabeth’s
15,west_end,sliver,initiatve,atoll,epicenter,enliven
16,roslindale,hyde_park,lawrence,west_roxbury,dorchester,bakersfield
17,north_end,shattuck,supermarket,gardens,waltham,rooftop
18,mission_hill,dorchester,paralyzed,humboldt,chrisleen,orchard
19,harbor_islands,katchouk,naturals,8tech,“members,”shackelford’s
20,longwood_medical_area,502,papagiannakos,“smelly”,domaine,intersection
21,502,longwood_medical_area,286,boucher,284,rosebud
22,papagiannakos,domaine,“kalogeri”,gaston,athens,walnut
23,“smelly”,addison,accenture,enoch,1850s,domaine
24,domaine,papagiannakos,“kalogeri”,magnolia,mixer,altima
25,intersection,falmouth,divination,tremont,hov,longwood_medical_area
