,word0,word1,word2,word3,word4,word5
0,rosario,macdonald,nmacdonald,harrington,doherty,mattison
1,recombinant,cte,wencus’s,patient’s,fetal,forensic
2,vellucci,lisi’s,pitman,sutter,gabon’s,“gerard
3,thacher,lonnie,smee,rosenbaum,thrity,“monsignor
4,cruz,rubio,coakley,sanders,bush,‘‘obama
5,genetics,hemophilia,wentworth,satcher,resettles,genitourinary
6,splicing,25’,studley,sauna,wellington,mountaintop
7,schmergel,‘‘bodak,igloos,“plays,rovner,kyriakos
8,biotech,pharmaceutical,manufacturing,alexion,editas,consulting
9,hardware,convenience,grocery,spa,giacomo,kroger
10,genetic,psychological,visual,material,fluids,cognitive
11,gene,sud,trask,bodhi,ka’,avid
12,lahey,deaconess,healthcare,christi,nbell,seniorlife
13,novartis,baa,iasis,citi,nhouge,llc
14,biogen,airbnb,wireless,arbour,facility’s,delivery
