,word0,word1,word2,word3,word4,word5
0,mckinley,playground,custodians,kipp,enrolling,roomed
1,hernandez,ortiz,jenkins,bradley,lloyd,lloyd’s
2,bishop,solano,groden,kruger,rector,shaw
3,lloyd,hernandez,odin,finch,tsarnaev,bradley
4,stenson,berman,kane,osunkwo,johanna,charnow
5,yountz,upstairs,mourners,hickory,marisabel,angrily
6,shaw,wilson,anthony,iii,cecil,jr
7,coleman,mahoney,ramos,heather,rivera,crowley
8,abreu,furtado,safiro,flonory,ambushed,dimaiti
9,doogan,ayala,mishandled,burrier,kafker,zambrano’s
10,mattocks,ushry,higgins,lillian,thiago,brimage
11,bradley,hernandez,paradis,perjury,baez,shiner
12,jurors,witnesses,juror,prosecutors,jury,judges
13,garsh,sjc,degnan’s,sultan,denner,jenkins
14,kurmann,“brigham,”mit,zane,carney,hitchcock
