,word0,word1,word2,word3,word4,word5
0,scher,pam,hefner,gentile,amoroso,reinstatement
1,danny,dun,meng,richards,fratalia,ramirez
2,meng,dun,danny,grenade,‘grab,‘nigger
3,dun,meng,‘nigger,danny,tamerlan,grenade
4,camogie,dijkstra,50k,nba’s,dominating,esbjornson
5,tamerlan,tsarnaev,dzhokhar,alemany,remorseful,ahern
6,zba,scippa,disregarded,“transparency,“sondheim’s,moretti
7,nite,massage,mccrea’s,lambics,elliptical,clover
8,taderera,shifrina,siddiqui,pledger,doughty,headley
9,moore,robards,watson,ross,haywood,taylor
10,pulvere,gottlieb,goldenberg,mashberg,gutchess,nowitzki
11,dzhokhar,tsarnaev,tamerlan,bomber,4runner,lloyd
12,hanley,carlson,anderson,knight,leslie,bates
13,tsarnaev,dzhokhar,tamerlan,lloyd,alemany,bombs
14,bra,massport,bpda,redevelopment,shen,motley
