,word0,word1,word2,word3,word4,word5
0,ge,bra,bain,verizon,aviation,finance
1,dumplings,delicious,coconut,salads,eggplant,herbs
2,bulger,“whitey”,billy,tom,mulligan,whitey
3,cianci,iranians,ntrump,menendez,pol,flake
4,immelt,coughlin,elka,‘‘clifford,heissner,petron
5,whitey,tragically,bulger,hemingway’s,finch,collins’s
6,kadish,patey,rudman,poftak,mehlman,passafaro
7,shafran,eliza,seligman,emilio,marie,burstyn
8,ava,peele,“ugly,“american,2011’s,felder
9,bpd,correct,comey,mamajuana,“complete,“completely
10,depp,onstage,wolverine,exiled,adele,doerr
11,buchanan,braude,ebersol,dowd,wilkinson,fonda
12,chapman,damon,meyers,stevens,herzog,levi
13,elorza,penix,madaro,frederica,border”,“kay”
14,arbitrator,injunction,alibi,intruder,“crew’’,assertion
