,word0,word1,word2,word3,word4,word5
0,naimo,meninos,siddiqui,taderera,she,doughty
1,marisol,benton,guralnick,hinojosa,lavins,leibowitz
2,katrina,hurricane,’78,cholera,1713,riots
3,orleanians,englanders,yorkers,disgraces,orleans,misdirection
4,hamden,b4,wheatland,geismer,cayman,“ride
5,orleans,york’s,england,haven,zealand,york
6,asylum,daca,binding,eligibility,application,sentencing
7,pollack,hooley,dennehy,verseckes,depaola,pesaturo
8,corbusier,“paris,corbusier’s,bremen,hajj,wholesaler
9,weinstein,npr,cosby,tmz,voicemail,wehner
10,warhol,salpini,hendrix,harnick,shemtov,emma
11,rockwell,“roseanne”,zenith,barlow,rihanna,vermeer
12,wahoo,“deporter,horning,tortorella,“obvious”,yawkey’s
13,silas,otoadese,genao,“alexander’s,“metal,prout
14,canada,nigeria,japan,europe,china,india
