,term,weight
1548,salad,0.0029020143936747383
1552,said,0.001985018132563802
4118,hicks,0.0017943664060712558
4992,ellison,0.0015183100359064472
2868,netta,0.001489538748954587
2540,papadopoulos,0.001489538748954587
4146,hedgehog,0.001489538748954587
5982,cherry,0.0013658617063438652
6817,andres,0.0013240344435151883
3750,jamaica,0.0012889651460187583
2340,plain,0.0012455168826698113
6623,avon,0.0011732395732004365
3198,mccue,0.0010352113881180321
15,yolanda,0.0010352113881180321
6439,bikes,0.0009307113052419492
5481,curley,0.0009307113052419492
6324,bowdoin,0.0008901385742563546
37,wurman,0.0008275215271969927
5161,dookhan,0.0008275215271969927
6144,cantillon,0.0008275215271969927
4097,hiroshima,0.0007704681884028044
3336,lungelow,0.0007447693744772935
4145,hedgehogs,0.0007447693744772935
6440,bike,0.0007247533154026087
3101,miller,0.0007238865707437382
6056,cellucci,0.0006721803871191854
4332,gonsalves,0.0006620172217575942
2964,naacp,0.0006448920874832752
6892,airbnb,0.0006211268328708194
4418,gallon,0.0006211268328708194
5474,curry,0.0006082840503570622
790,sydney,0.0005926678372329264
4157,hearns,0.0005792650690378949
7030,abv,0.0005792650690378949
6610,azimi,0.0005792650690378949
1259,silvelo,0.0005792650690378949
3731,jeffries,0.0005792650690378949
5864,coakley,0.0005656181036020516
6579,ballou,0.0005521127403296172
5993,charter,0.000551083863709722
4190,harris,0.000546344682537546
870,sullinger,0.0005334010535096339
1489,school,0.0005332424486545617
5368,degrees,0.0005290405091613331
2526,parish,0.0005219458961382919
5809,comics,0.0005170618362455272
5054,ebola,0.0005170618362455272
5613,corcoran,0.0005008159589927506
222,warmest,0.0004965129163181956
5162,doody,0.0004965129163181956
3754,jaewon,0.0004965129163181956
3325,macmillan,0.0004965129163181956
1530,saplings,0.0004965129163181956
6854,almanac,0.0004965129163181956
14,yonealya,0.0004965129163181956
13,yonetta,0.0004965129163181956
4888,esparra,0.0004965129163181956
6283,breweries,0.00048309864778841503
4010,hundred,0.00047467824909134393
258,voted,0.00046395190767848174
4377,geneva,0.00045153303405033753
6552,bars,0.0004426576462972578
6566,bar,0.00043016184247012315
2209,prayers,0.0004233122194221914
2284,police,0.0004167192155930731
