,term,weight
1030,scigliano,0.004169903169158491
2122,meaney,0.003127427376868868
2048,mitzvah,0.002953681411487264
3266,ellis,0.0029311745176329464
1992,mulligan,0.0028620329131829668
4389,animal,0.002547847498485414
2039,modeling,0.002432443515342453
3531,debenedictis,0.0020849515845792455
4010,camilla,0.0020849515845792455
1078,said,0.001669681921966103
1047,scapicchio,0.0014932345633998085
594,sullivan,0.001469216077944214
4214,beard,0.0014338778687142649
2894,giannangelo,0.0013899677230528303
2008,motivators,0.0013899677230528303
1113,roslindale,0.0013424689245107179
2214,macarthur,0.0013041144871131366
1991,mullin,0.0012162217576712265
4536,acerra,0.0012162217576712265
371,traub,0.0012162217576712265
4388,animals,0.0012068560640256043
1501,pound,0.0011847603995328812
780,souza,0.0011592128774338992
4444,airing,0.001085620191715906
1211,rescue,0.001055286783820014
2641,html,0.0010424757922896228
934,shelter,0.001032668403469783
4007,campatelli,0.001014311267754662
3830,coding,0.001014311267754662
4319,arroyo,0.0008920240473232727
825,snyder,0.0008710534953165551
4186,benson,0.0008694096580754245
3404,distinctive,0.0008694096580754245
4131,bonauto,0.0008687298269080189
3086,fashion,0.0008462574282377722
4514,ad,0.0008263910803686741
3387,dog,0.0008117590644769338
1723,pac,0.0007599341342011343
1659,patterson,0.0007466172816999043
4436,ali,0.0007466172816999043
3385,dogs,0.000734608038972107
2073,mikelonis,0.0006949838615264151
3597,css,0.0006949838615264151
3589,curhan,0.0006949838615264151
4130,boncore,0.0006949838615264151
2423,kennels,0.0006949838615264151
136,weber,0.0006949838615264151
4252,bagly,0.0006949838615264151
4373,antm,0.0006949838615264151
4287,aubert,0.0006949838615264151
4209,beckwith,0.0006949838615264151
3921,chapel,0.0006691430053999903
1125,rodriguez,0.0006674750221191792
4036,butcher,0.0006513721150295437
2826,greenwood,0.0006513721150295437
2943,frost,0.0006221810680832535
1107,rowe,0.0006221810680832535
3375,doolin,0.0006221810680832535
2856,gormley,0.0006221810680832535
3469,designer,0.0006010116948135812
2114,meat,0.0005925226740663754
1852,northeast,0.0005925226740663754
390,toys,0.0005923801997664406
27,yancey,0.0005923801997664406
4282,auditions,0.0005796064387169496
2859,goodridge,0.0005796064387169496
2205,maggie,0.0005796064387169496
3872,city,0.0005565606406553676
3605,cruelty,0.000542810095857953
1436,prom,0.000542810095857953
2465,jordan,0.000542810095857953
3511,deer,0.000542810095857953
2665,horse,0.0005339800176953434
3089,farm,0.0005339800176953434
1600,pictures,0.0005332704066597379
4219,bat,0.0005258852329618835
1931,neglect,0.0005258852329618835
448,thousand,0.0005242024638730788
94,whyte,0.0005212378961448114
4272,avellino,0.0005212378961448114
3059,fencing,0.0005212378961448114
3294,effman,0.0005212378961448114
3328,duffey,0.0005212378961448114
1937,nee,0.0005212378961448114
1539,polasky,0.0005212378961448114
4166,bina,0.0005212378961448114
2088,merchandise,0.0005212378961448114
723,stacks,0.0005212378961448114
4118,bootcamps,0.0005212378961448114
647,strays,0.0005212378961448114
2488,javascript,0.0005212378961448114
1837,nroslindale,0.0005212378961448114
2050,mistreatment,0.0005212378961448114
3838,coakley,0.0005163342017348915
648,stray,0.0005077544569426634
4023,cages,0.0004977448544666029
216,veterinarians,0.0004977448544666029
4283,audition,0.0004977448544666029
4182,berkshires,0.0004977448544666029
2091,menino,0.0004971257820842236
3505,defense,0.0004944238748235381
2339,league,0.00048825701251501585
2055,mismanagement,0.0004779592895714216
2948,friday,0.00047308666011272257
3088,farmers,0.00046723251548342546
1391,purchase,0.00046723251548342546
2663,horses,0.00046723251548342546
1130,robinson,0.00046282106149331254
2375,languages,0.00045075877111018585
1443,programming,0.00045075877111018585
1616,phil,0.00045075877111018585
359,trial,0.00043888407147465774
3703,control,0.00043888407147465774
2719,heidi,0.00043470482903771224
1178,retrieved,0.00043470482903771224
3313,eastie,0.00043470482903771224
656,storeroom,0.00043470482903771224
3160,exculpatory,0.00043470482903771224
2880,giver,0.00043470482903771224
2427,katy,0.00043470482903771224
1096,rulings,0.00043470482903771224
1512,possessions,0.0004342480766863624
616,stutman,0.0004342480766863624
173,walgreens,0.0004342480766863624
3560,dancers,0.0004342480766863624
1032,schuler,0.0004342480766863624
2633,hundred,0.0004335995688826702
2523,investigation,0.00042571076385979626
4435,aligned,0.0004231287141188861
1644,pepper,0.0004231287141188861
1588,pistol,0.0004231287141188861
2038,models,0.00041977602226977545
586,supermarket,0.0004147658718464628
2010,motion,0.0004147658718464628
578,supreme,0.0004058795322384669
2156,marriage,0.0003870709037285912
3898,chew,0.00038236743165713733
1547,plymouth,0.00037563230925848816
2184,malone,0.00037563230925848816
4249,balances,0.00037330864084995214
1998,movers,0.00037330864084995214
1059,sausage,0.00037330864084995214
3123,eyebrows,0.00037330864084995214
3815,collided,0.00037330864084995214
2872,glow,0.00037330864084995214
1082,saddle,0.00037330864084995214
4137,bmw,0.00037330864084995214
4356,appellate,0.00037330864084995214
3444,dicara,0.00037330864084995214
3547,davis,0.00037025684919465005
3833,code,0.00037025684919465005
3697,convicted,0.00037025684919465005
2599,inc,0.0003652915790146202
411,tony,0.0003652915790146202
1036,school,0.0003624115799616348
1500,pounds,0.00035551360443982524
3656,courts,0.00035551360443982524
307,two,0.0003541721141021118
2727,heard,0.000348755008939297
2161,market,0.000348755008939297
1538,police,0.00034798804745895655
1520,porteleki,0.00034749193076320757
3959,catwalkers,0.00034749193076320757
2821,greylock,0.00034749193076320757
2065,milstein,0.00034749193076320757
2816,grizzly,0.00034749193076320757
2813,grotto,0.00034749193076320757
2784,guzman,0.00034749193076320757
3832,codecademy,0.00034749193076320757
678,stevendra,0.00034749193076320757
2780,hairspray,0.00034749193076320757
3415,discreetly,0.00034749193076320757
675,stickney,0.00034749193076320757
4106,bowen,0.00034749193076320757
3992,capri,0.00034749193076320757
1620,phane,0.00034749193076320757
86,williamstown,0.00034749193076320757
4410,altering,0.00034749193076320757
3601,crushes,0.00034749193076320757
4138,blushed,0.00034749193076320757
252,uruguay,0.00034749193076320757
254,urbanek,0.00034749193076320757
3081,fauxhawks,0.00034749193076320757
4340,apso,0.00034749193076320757
2018,mormon,0.00034749193076320757
305,tyra,0.00034749193076320757
1453,productively,0.00034749193076320757
329,turk,0.00034749193076320757
4399,ami,0.00034749193076320757
3705,contractually,0.00034749193076320757
4220,bastian,0.00034749193076320757
950,seymour,0.00034749193076320757
949,sgt,0.00034749193076320757
946,shaggy,0.00034749193076320757
3497,dehydrated,0.00034749193076320757
59,wooly,0.00034749193076320757
3895,chihuahua,0.00034749193076320757
3265,elsbree,0.00034749193076320757
2145,massbay,0.00034749193076320757
4153,bleach,0.00034749193076320757
2172,manscaping,0.00034749193076320757
541,taker,0.00034749193076320757
1748,osha,0.00034749193076320757
3570,cw,0.00034749193076320757
1831,nsullivan,0.00034749193076320757
3379,dominck,0.00034749193076320757
3567,dachshunds,0.00034749193076320757
2494,jamaicaway,0.00034749193076320757
1707,paparazzi,0.00034749193076320757
2207,madsen,0.00034749193076320757
4042,bushy,0.00034749193076320757
1161,rhodies,0.00034749193076320757
187,vogt,0.00034749193076320757
1049,scammed,0.00034749193076320757
3347,drillmaster,0.00034749193076320757
875,sims,0.00034749193076320757
475,thebeardedmodel,0.00034749193076320757
2598,incessantly,0.00034749193076320757
2303,lhasa,0.00034749193076320757
3270,elimination,0.00034749193076320757
3267,elliptical,0.00034749193076320757
3651,cowered,0.00034749193076320757
2173,manpri,0.00034749193076320757
