,term,weight
9100,artificial,0.0035372784694329942
2840,quarterback,0.0032704222615177235
7244,depth,0.002861619478828008
3481,parade,0.0026026198389717814
7037,division,0.0024811181411197396
8935,bagwell,0.002447635676742165
1436,starters,0.0024416612443873766
3683,offensive,0.0024179177858834615
2017,season,0.0023747973791982298
674,turf,0.002211173479968677
5287,inexperience,0.002077744230460089
7317,defensive,0.001814296188692248
3685,offense,0.0016119451905889746
2163,said,0.001566149190821403
6129,forry,0.0014399540672028117
1577,south,0.0013163490068477076
6992,dorcena,0.0012521339714807059
2689,receiver,0.0012521339714807059
8449,bulger,0.0012289506551168992
4655,linebacker,0.0012289506551168992
5829,grass,0.0011615939260815075
6442,fallon,0.001093549594978994
9578,4th,0.0010926944985456093
1960,seniors,0.0010205416061393894
1724,skill,0.0009837685376208748
2850,qb,0.0009615711587201362
2378,returning,0.0009495637330211351
7319,defense,0.0009239506107239691
9604,1st,0.0009178633787783119
4376,massequality,0.0009077971293235118
5004,junior,0.0008964949729391811
1490,squad,0.000888249175713913
8953,backfield,0.0008748396759831952
8316,captains,0.0008383880228172287
3212,players,0.0008184919126412881
8849,beaches,0.0007373703930701396
5977,gay,0.0007343478842389128
2243,rooney,0.0007290330633193294
761,transit,0.0007102103032375331
2733,rb,0.00069932447906919
8769,berlinger,0.00069932447906919
9594,2d,0.0006925814101533628
822,touchdowns,0.0006886736843143882
2688,receivers,0.0006561297569873964
1961,senior,0.0006188549876348962
3465,parklet,0.0006119089191855412
3364,peragine,0.0006119089191855412
3054,preseason,0.0006119089191855412
4373,massport,0.0005947636364533353
4781,lb,0.0005832264506554634
2377,returns,0.0005708972550002618
300,warriors,0.0005682011392437169
3130,positions,0.0005660598274341619
3206,playoff,0.0005530861177566738
2199,rull,0.0005530861177566738
1591,sophomore,0.0005515066044238236
199,whitey,0.0005462002911630664
440,veterans,0.0005330484292638283
5433,hundred,0.0005307324700704546
9581,3sw,0.0005244933593018925
4650,linemen,0.0005244933593018925
686,tsarnaeva,0.0005244933593018925
9305,almeida,0.0005244933593018925
9582,3se,0.0005244933593018925
8548,breakfast,0.0005122828416795321
9576,5th,0.0005103231443235305
5418,hyatt,0.0005103231443235305
9045,athleticism,0.0005103231443235305
9244,andrews,0.0005008535885922823
8604,boston,0.0004971877021201367
5286,inexperienced,0.0004807855793600681
9584,3ne,0.0004807855793600681
9583,3nw,0.0004807855793600681
86,wr,0.00047387149115756406
8317,captain,0.0004701506805884509
2068,scholastic,0.00046955023930526473
9585,3d,0.00046955023930526473
4651,lineman,0.00046955023930526473
6224,float,0.00046955023930526473
3205,playoffs,0.000453574047173062
9572,7th,0.0004382468900182471
2790,raiders,0.0004382468900182471
4323,mcgill,0.0004370777994182438
4257,mendoza,0.0004370777994182438
4946,keogh,0.0004370777994182438
4654,linebackers,0.0004370777994182438
4866,kyle,0.0004370777994182438
3858,nick,0.00043226193319705097
4652,linehan,0.00043078329868506107
1226,sullivan,0.0004223977913023664
6625,ethic,0.00041577620990864014
65,wu,0.0004096502183722998
471,varsity,0.00040880278268971544
1437,starter,0.00040880278268971544
922,thousand,0.00040700342796814006
4523,lynch,0.0004044828517082069
4812,last,0.0004037474005443949
4969,keenan,0.0004009681848256311
8416,bus,0.00039978632194787126
3663,ol,0.0003933700194764194
2379,returners,0.0003933700194764194
5998,garofalo,0.0003933700194764194
462,velasquez,0.0003933700194764194
3599,organizers,0.00038799378338497993
6117,foster,0.00037797837264421833
9035,attackers,0.0003756401914442118
9314,allied,0.0003756401914442118
8923,ball,0.00037482339924694506
8060,city,0.0003711871263069437
288,waterfront,0.00036757305794366516
6041,fullback,0.0003645165316596647
5582,hickman,0.0003645165316596647
2008,secondary,0.0003619057094231325
8957,back,0.0003549069891882181
4649,lines,0.00035187502786447904
2779,rakes,0.000349662239534595
5544,hockomock,0.000349662239534595
700,truckers,0.000349662239534595
7032,dl,0.000349662239534595
4082,morelli,0.000349662239534595
1543,speed,0.0003471523325023504
1795,sides,0.0003471523325023504
654,two,0.00034445164002883073
156,wines,0.0003443368421571941
3620,optimistic,0.00034061713828059523
7744,connor,0.00034061713828059523
4359,matt,0.00033764096383423703
8410,busing,0.00032999827445497374
1031,team,0.0003288587697982571
7631,coredini,0.0003280648784936982
6640,esplanade,0.0003280648784936982
5894,glynn,0.0003280648784936982
9569,9th,0.0003280648784936982
1590,sophomores,0.0003277201746978398
4706,lgbt,0.0003277201746978398
3118,postal,0.0003277201746978398
8396,bypass,0.0003277201746978398
4775,leadership,0.00032127719935452434
1669,smith,0.000319829057558297
1772,silver,0.000319829057558297
3104,pound,0.0003193285671380581
4949,kenny,0.00031303349287017647
3808,nonunion,0.0003126138926450765
2191,running,0.00031014300281894216
6173,foot,0.00030834499000979295
4656,line,0.0003060665778320413
7391,db,0.0003059544595927706
4956,kelliher,0.0003059544595927706
5973,gbl,0.0003059544595927706
6903,dunford,0.0003059544595927706
4015,mustangs,0.0003059544595927706
9557,ablow,0.0003059544595927706
2079,scc,0.0003059544595927706
2184,rusher,0.0003059544595927706
4863,labor,0.0003052409349379967
3169,police,0.00030514069632186244
