,term,weight
3696,marisol,0.005513738298391606
4782,hamden,0.002253260892168098
6372,corbusier,0.0015647645084500682
256,warhol,0.0015021739281120654
1501,silas,0.001461589758420059
3263,netblazr,0.0014395833477740625
1400,sncc,0.0013144021870980572
3484,mississippi,0.0011341491197395359
1821,said,0.0009978196630545365
6876,castelli,0.0009388587050700409
6998,busch,0.000887393781897893
1727,sculptures,0.0008840864647072412
5737,echelman,0.0008762681247320381
7587,art,0.0008366349955735843
4518,ica,0.0008351941476686051
4006,le,0.0007848473271630686
4092,kooning,0.0007510869640560327
4858,greenway,0.0006616996696903774
2392,protesters,0.0006616996696903774
4541,hundred,0.0006597732818795182
6244,cuba,0.0006542876960436893
3366,museum,0.0006361150230823032
4548,huffington,0.0006259058033800272
4759,hanoi,0.0006259058033800272
3775,maddon,0.0006259058033800272
493,unesco,0.0006259058033800272
7129,brackenbury,0.0006259058033800272
5837,downtown,0.0006071307592982226
6700,city,0.0005968267143503769
165,wi,0.0005854153069864589
4070,lake,0.0005792290630840546
7577,artists,0.0005763190671496837
338,villa,0.0005741959765221661
4109,kligman,0.0005633152230420245
2934,pacini,0.0005633152230420245
5557,erotic,0.0005633152230420245
4935,glueck,0.0005633152230420245
3901,linda,0.0005530407136577072
678,tourist,0.0005475202647018449
7362,beaches,0.0005475202647018449
3632,mcghee,0.0005379256876479615
2592,portraits,0.0005379256876479615
7578,artist,0.0005336287658793367
1935,rivera,0.000529273222307522
762,thousand,0.000510566603291924
4856,greenwood,0.0005084116743659988
4559,houston,0.0005084116743659988
5223,fish,0.000503893408217094
625,travel,0.0004961697180041964
5304,fence,0.0004914679921426989
2895,paris,0.0004809049683980063
2807,people,0.0004732649336450255
5979,dine,0.0004697967080635904
6449,conservancy,0.00046930308403015275
5287,fi,0.0004600829159231781
3667,mask,0.0004572861024347799
5670,ellen,0.000456859719978106
1203,startups,0.000456859719978106
3061,one,0.0004511134511686062
3626,mcnamara,0.0004482714063733013
2738,picasso,0.00043813406236601905
1883,rosengren,0.00043813406236601905
5884,dodgers,0.00043813406236601905
3331,narcan,0.00043813406236601905
4053,lantigua,0.00043813406236601905
6241,cubs,0.00041759707383430257
6590,comcast,0.00041759707383430257
3968,leisure,0.00041759707383430257
5030,gallery,0.0004168188706985658
624,travelers,0.000415857531813053
2274,rays,0.0004132343343433827
6344,cotton,0.0004132343343433827
3577,memphis,0.000405955514049863
5300,ferdinand,0.0004055578620682959
7717,andy,0.00040344426573597124
4949,glamour,0.00040344426573597124
2960,overdose,0.00040344426573597124
345,vietnam,0.0003963146221101426
1370,solo,0.0003910859033584606
5370,fame,0.00038472397471840507
1848,ruleville,0.00037554348202801634
7443,bagan,0.00037554348202801634
4355,installations,0.00037554348202801634
6885,cartoony,0.00037554348202801634
6924,caracas,0.00037554348202801634
38,yangon,0.00037554348202801634
7037,buddha,0.00037554348202801634
6887,cartagena,0.00037554348202801634
7039,buda,0.00037554348202801634
4920,goldson,0.00037554348202801634
3458,moma,0.00037554348202801634
4496,illustrative,0.00037554348202801634
3600,medvedow,0.00037554348202801634
2277,rauschenberg,0.00037554348202801634
7261,biosphere,0.00037554348202801634
6199,danube,0.00037554348202801634
3231,nicaragua,0.00037554348202801634
5063,frontal,0.00037554348202801634
7776,allergist,0.00037554348202801634
4547,huffpost,0.00037554348202801634
2628,police,0.0003689162262535901
4016,lawrence,0.00036680060621473794
6032,destination,0.0003655370559875535
6872,catalog,0.00036539743960501477
5084,freedom,0.00036148874937313264
6753,chi,0.00035861712509864107
7029,building,0.00035817109345008747
830,temples,0.00035197731302261456
5094,france,0.00035197731302261456
5763,dynamics,0.00035197731302261456
6875,castle,0.00035182811217654794
6031,destinations,0.00034436194528615226
3402,mountains,0.00034436194528615226
7219,bluffs,0.00034436194528615226
3213,nine,0.0003403777355279493
595,trinity,0.0003353431417855053
6900,carpenter,0.0003353431417855053
3634,mcdonough,0.000320177259527602
5579,entrepreneurs,0.000320177259527602
6266,crossing,0.0003180575115411516
6013,developers,0.00031620888202348805
891,tampa,0.00031378998446131095
2959,overdoses,0.00031378998446131095
7695,antennas,0.00031378998446131095
2572,postwar,0.0003131978053757269
3507,minh,0.0003131978053757269
1886,rope,0.0003131978053757269
126,wit,0.0003131978053757269
7713,angels,0.0003131978053757269
