,term,weight
14030,batson,0.002480211599115704
9103,harrison,0.0011928111628059356
8947,hicks,0.0011411499474386635
5787,oller,0.0010906427685188453
3457,roxcomp,0.0009620214687479095
3378,said,0.0008606867575152979
15032,addict,0.0008077303937111061
7748,laboy,0.0007535895879311928
313,whiting,0.0007428240223893186
1374,titus,0.0007365476870101181
4983,police,0.0007294276077457335
8867,holmes,0.0007045063478704432
8957,heroin,0.0006945589841212769
13899,berryman,0.0006162950034166295
6447,muslim,0.0006005627883485746
6505,moynihan,0.0005623670630761409
11168,dosouto,0.0005390533223713833
9242,guscott,0.0005261054907215129
14169,backpage,0.0005261054907215129
9632,garvey,0.000513981074819226
11043,duvernay,0.000511073905272327
13708,bolling,0.0005081685132180245
6977,mccaskill,0.0004960423198231409
10359,faaruuq,0.0004952160149262124
12918,cherry,0.00047352066004406845
497,walker,0.000467746017848409
6549,mosque,0.00045392514907083206
10265,farge,0.00045094756347558254
3458,roxbury,0.0004467936497693267
8144,islamic,0.00044488091793388985
13465,brooke,0.000441969103150235
6087,nmy,0.0004383155050446392
10164,ferdinand,0.00043062262167496734
13946,bella,0.00042897001188111044
6504,mr,0.00041302497109095543
13697,bond,0.00039679451140035
5308,peguero,0.0003886198370584391
13806,blacks,0.00038347319243917447
7644,lavette,0.00037578963622965215
591,violence,0.0003604103250921076
274,wilson,0.0003603675565309387
14642,angelo,0.00035561446635697146
11064,dudley,0.00033949591054205727
1981,suazo,0.0003384753419541244
21,zahedi,0.00033069487988209386
10560,evans,0.00032094934059297175
6446,muslims,0.0003119781904589894
13808,black,0.00031138301179711736
14147,bail,0.00030415328062827164
14720,amber,0.0003014358351724771
1036,uddin,0.0003006317089837217
7885,kelly,0.0002989790991898648
6428,naacp,0.0002928549348844078
8299,integration,0.0002928549348844078
5813,officers,0.00028573447069711746
9264,guilford,0.00028560012353453563
6874,men,0.00028103102261979867
9256,gun,0.00028092153330428165
14786,allegedly,0.00027885762379389347
5814,officer,0.0002763275745424798
15030,addiction,0.00027038210068873404
12117,court,0.00026692067838784224
7223,madison,0.00026329686979760823
2272,staines,0.0002632585992976523
10830,emery,0.0002632585992976523
315,whites,0.0002614358926255396
15013,adilas,0.0002583735730049804
2224,state,0.00025811011596949825
12547,community,0.0002575502241778074
10571,eure,0.0002555369526361635
14828,alben,0.0002535897747697659
10628,ernst,0.0002507224755215736
13327,buyback,0.0002507224755215736
2894,shooting,0.0002492827480978967
15106,according,0.00024859030499825113
2505,son,0.000248106886078567
4313,ramirez,0.0002476080074631062
8725,humboldt,0.00024698273411336664
4575,prosecutors,0.0002446581038946424
3065,sentencing,0.0002441975608894042
3530,rogers,0.00024160532127963643
9311,grossman,0.00024160532127963643
10324,fahmy,0.00023818635174549494
2149,stidman,0.00023818635174549494
9246,guns,0.00023624095372583756
5295,pennsylvania,0.0002358049227602906
7480,life,0.00023123530996833577
9042,healey,0.00023098568782637483
12969,charges,0.00022781962417953844
