,term,weight
881,rosario,0.011052622195618953
1896,laboy,0.00324712239219197
492,summerhill,0.002908584788320777
2849,davidson,0.0024977864555322847
50,wong,0.0023728971327556707
1787,longwood,0.0020358005286828123
757,settles,0.00191879872440539
1403,orthopedic,0.0019181648856962193
1937,kaneko,0.0019181648856962193
1327,payne,0.0018733398416492138
1456,nyul,0.0013950290077790685
458,sánchez,0.0013950290077790685
3376,baptist,0.0013692397916178964
1667,meter,0.00135894224403694
243,undergraduates,0.001307487908177966
360,ticket,0.001300617724686005
1889,landlords,0.0012220723799820355
1263,platelets,0.001220650381806685
5,zakim,0.0012058298939506458
844,santiago,0.0011634339153283107
2014,inspectors,0.0011310002937126736
845,sanitary,0.0011240039049895281
2667,duncan,0.0010895732568149716
1493,northeastern,0.0010681522575284085
162,violations,0.0010591293959844306
891,roitman,0.0010462717558343015
855,said,0.0010314738565986709
359,tickets,0.0009496186179072599
2844,deaconess,0.0009378676952949467
2122,hospitals,0.0009215592634700247
0,zoning,0.0008920203372859174
235,unenforceable,0.0008725754364962331
3179,caregroup,0.0008718931298619178
2627,ellerbe,0.0008718931298619178
512,suber,0.0008718931298619178
1662,mgh,0.0008716586054519772
1462,nurses,0.0008708771456310219
1329,payment,0.0008426091025340901
2123,hospital,0.0007638935640947962
3116,chipotle,0.0007493359366596855
1983,isd,0.0007493359366596855
870,rule,0.0007332434279892213
3254,brigham,0.0007324472623051944
3109,christopher,0.000712213963430445
2416,fiscal,0.0007088917411307883
1523,ngood,0.0006975145038895343
625,speciality,0.0006975145038895343
2086,ildo,0.0006975145038895343
441,tallies,0.0006975145038895343
1090,quotas,0.0006975145038895343
821,schiavone,0.0006975145038895343
1922,kia,0.0006975145038895343
1497,nonly,0.0006975145038895343
1239,politano,0.0006975145038895343
2246,greenstein,0.0006975145038895343
1477,nsurprisingly,0.0006975145038895343
2269,goessling,0.0006975145038895343
1480,nrosario,0.0006975145038895343
735,shernan,0.0006975145038895343
2,zon,0.0006975145038895343
