,term,weight
4065,harper,0.006091421781777112
1112,sox,0.005103113836733781
3124,martinez,0.0029095191740916506
4363,frates,0.002864923208644228
2368,pedro,0.0024628569404345577
5753,chery,0.001921028413538955
6257,baseball,0.0018225092608300396
3962,hiv,0.0016747427194954993
2274,pitchers,0.001493315195939179
3517,kapstein,0.001342932754051982
4533,fenner,0.0012534039037818496
5961,bumgarner,0.0012534039037818496
4531,fenway,0.0012040472645315243
3229,lucchino,0.0011946521567513433
3877,hurling,0.0011946521567513433
1486,scherzer,0.0011638750535117176
2730,nl,0.0011638750535117176
3961,hoarty,0.0011638750535117176
2321,pete,0.001090161351607255
5128,dh,0.0010259236685098293
1328,shen,0.000935885637365132
3013,merloni,0.0008952885027013213
1589,rosenthal,0.0008950476853343397
3385,league,0.0008646941748463692
4409,football,0.0008574904397790371
5007,dominican,0.0008381806171940671
2275,pitcher,0.0008373713597477497
5019,dodgers,0.0008335629806642364
3081,mcad,0.0008213233577665485
4314,gaelic,0.0008213233577665485
4846,elks,0.0008057596524311891
4240,gm,0.0007831667246675472
3965,hitter,0.0007694427513823721
6377,athletes,0.0007643089891929408
1484,scholar,0.000763296483628211
4260,gifford,0.0007466575979695895
4941,dugout,0.0007466575979695895
33,yankees,0.0007388570821303674
4937,duquette,0.000716230802161057
2283,pinales,0.000716230802161057
2979,miley,0.000716230802161057
2820,nationals,0.0007053225221005077
4303,game,0.0006933456172840254
5652,clubhouse,0.0006895999433216761
3177,malone,0.0006895999433216761
338,valcin,0.0006719918381726305
3728,innings,0.0006719918381726305
6240,batting,0.0006712857640007548
3148,marchand,0.0006412022928186434
6156,billboard,0.000640342804512985
2262,plagiarism,0.0006267019518909248
2597,ogando,0.0006267019518909248
6532,amaro,0.0005973260783756716
2276,pitched,0.0005910856657042939
2512,outfielder,0.0005770820635367791
3495,kerrigan,0.0005770820635367791
974,steinberg,0.0005770820635367791
2272,pitching,0.0005668839028357725
1537,said,0.0005556470321354225
28,yawkey,0.0005418285268956027
3685,interleague,0.0005371731016207928
6003,britton,0.0005371731016207928
2933,mlb,0.0005371731016207928
1114,southpaw,0.0005371731016207928
4585,fans,0.0005318725018292088
6235,bc,0.0005232774487714823
4645,expos,0.0005226603185787127
5754,cherington,0.0005226603185787127
6537,als,0.0005226603185787127
2513,outfield,0.0005129618342549146
725,team,0.0005072005973292047
3592,jephthe,0.0005034643230005661
3039,melvin,0.0005034643230005661
2242,players,0.0004986304704648833
6155,billboards,0.0004925713880869116
672,thanksgiving,0.000488509749522055
3398,lawn,0.0004769703564084673
3383,leagues,0.00046453929952315853
2243,player,0.00045230156838117774
6291,ballpark,0.00044884160497305034
6611,affirmative,0.00044884160497305034
4192,grady,0.00044884160497305034
4576,fastball,0.0004479945587817537
2777,ness,0.0004479945587817537
6259,barten,0.00044764425135066063
2662,nugent,0.00044764425135066063
3356,leroux,0.00044764425135066063
2731,nkapstein,0.00044764425135066063
5,zimmer,0.00044764425135066063
3868,hyzdu,0.00044764425135066063
1979,quesadilla,0.00044764425135066063
6622,aerostats,0.00044764425135066063
2572,opener,0.00044752384266716984
1435,seasons,0.0004471226283617336
6701,ace,0.0004433142492782204
275,virus,0.0004360645406429019
6246,bat,0.00042582769122956197
6292,balloons,0.00039245808657861173
447,twins,0.0003915833623337736
1061,sports,0.0003851920096022363
1905,raytheon,0.00038472137569118604
3729,inning,0.00038472137569118604
2403,pat,0.0003783345316906977
1436,season,0.0003767430221290229
3132,marlins,0.00037332879898479475
5004,dominicans,0.00037332879898479475
3941,homers,0.00037332879898479475
4304,galway,0.00037332879898479475
5298,cyrus,0.00037332879898479475
3000,mets,0.00037332879898479475
2309,phillies,0.00037332879898479475
280,violence,0.00036038168405497115
6121,bloggers,0.0003581154010805285
34,xbox,0.0003581154010805285
6612,affinity,0.0003581154010805285
6242,batters,0.0003581154010805285
766,tafari,0.0003581154010805285
6301,bah,0.0003581154010805285
4316,gaa,0.0003581154010805285
5543,concourse,0.0003581154010805285
6127,blimps,0.0003581154010805285
3204,magadan,0.0003581154010805285
6546,allée,0.0003581154010805285
5640,cocoanut,0.0003581154010805285
3627,isyl,0.0003581154010805285
920,strikeouts,0.0003581154010805285
1851,red,0.00035681745850486683
6375,athletics,0.00034479997166083807
3523,kairos,0.00034479997166083807
230,wallace,0.00034479997166083807
