,term,weight
2990,licenses,0.0034465965814377206
4535,diluzio,0.003312592757776824
4420,dratch,0.0023924281028388176
2397,nunez,0.002148731052587704
682,thiago,0.001841769473646603
5257,camilo,0.0018403293098760134
5368,bratton,0.001794321077129113
4775,creole,0.0016453378267979873
4817,cottonwood,0.001518271680647711
4371,eb,0.001496437697337865
4369,echelon,0.00138024698240701
4793,cox,0.0013079392155199555
3590,haywood,0.0013045867104996773
5541,beagan,0.0011962140514194088
2900,loutzenheiser,0.0010359953289262142
1947,pressley,0.0010344680994812906
3634,haitian,0.0009721169845080751
4068,fairmount,0.000935000012992705
3970,finneran,0.0009208847368233016
1423,said,0.0009194317660878875
208,wenham,0.0009112640271496545
3151,kendall,0.0008355319265041193
1129,snow,0.000834029767921314
1563,restaurateurs,0.0008049275030208417
5854,alewife,0.0007908222005354095
2781,mattapan,0.0007371827044371181
4454,dolben,0.0007361317239504054
4399,dual,0.0007340737996483328
3091,language,0.0007109761956050546
556,trails,0.000706054639391159
1253,shing,0.000690123491203505
5331,broom,0.0006899378597321499
3635,haiti,0.0006722713008611678
2000,pot,0.000658984330098415
2599,mrs,0.0006564893708246653
2955,liquor,0.0006530498319138479
3633,haitians,0.0006260675754238659
3655,guinness,0.0006260675754238659
1127,snowfall,0.0006260675754238659
3854,foxborough,0.0005962239177080898
4188,evans,0.0005878009434372534
557,trail,0.0005797488757189348
1288,service,0.0005502542329548489
3511,holmes,0.0005491536084153459
2149,pepperell,0.000537182763146926
990,state,0.0005239262792249518
2812,marijuana,0.0005147344405750829
2045,police,0.0005106826769389957
5908,advertisements,0.000494263875334631
564,tracts,0.000494263875334631
2225,parental,0.0004929989539648564
2992,license,0.000491176130817431
4703,danvers,0.00047722106512214596
3601,harris,0.0004729014556385979
4138,existing,0.0004729014556385979
1515,riders,0.00047241902734193256
1164,skydiving,0.0004604423684116508
4395,dunham,0.0004604423684116508
2895,lovitt,0.00046008232746900336
1482,rode,0.0004575531978474939
1814,qualify,0.0004575531978474939
2060,pleasure,0.0004556320135748273
1969,preference,0.00044818086724077855
4161,exam,0.0004446296727924071
2874,macdonald,0.0004393228867322767
132,wonderland,0.0004303191239317813
610,tobacco,0.0004257718238787396
2520,negligible,0.0004220721710440132
985,station,0.00041748907345717757
2770,mbta,0.00041748907345717757
5280,byway,0.000414074094722103
5041,clogging,0.000414074094722103
3137,kickstand,0.000414074094722103
2160,peckish,0.000414074094722103
2382,obliging,0.000414074094722103
1,zoom,0.000414074094722103
2469,ninny,0.000414074094722103
5108,choate,0.000414074094722103
1416,samsung,0.000414074094722103
2587,muriel,0.000414074094722103
5603,bacon,0.00040500623428873535
5467,bishop,0.00040294564096811895
4199,eulogy,0.00039787234595434255
515,trolley,0.00039787234595434255
553,trains,0.00039766713315063915
2968,line,0.00039757845989881537
5815,amendments,0.00039541110026770476
2336,one,0.00039440105813059653
2911,loop,0.0003796933446456894
1358,seaport,0.00036916071694877834
190,whiter,0.0003680658619752027
3014,lenk,0.0003680658619752027
3226,jaira,0.0003680658619752027
3378,inches,0.0003654238520843711
5399,boston,0.0003650931238746074
945,storm,0.00036471768986044554
1415,samuels,0.00036246017524539604
3246,investors,0.0003612616091438308
5178,census,0.00035808511135890827
279,walkers,0.00035808511135890827
3222,jammed,0.00035808511135890827
1897,program,0.0003580601707266002
5856,alcohol,0.0003554118756351763
1196,simpson,0.0003543804550026434
5432,blurring,0.0003453317763087381
3112,knox,0.0003453317763087381
5531,beautifully,0.0003453317763087381
5481,biked,0.0003453317763087381
5696,ashkenazy,0.0003453317763087381
3200,jobless,0.0003453317763087381
915,stringing,0.0003453317763087381
514,trolleys,0.00034496892986607495
3523,hiring,0.00034392833137352575
4609,department,0.000342263398488662
5478,bill,0.0003419091549864816
546,transit,0.0003418154786562762
5074,civil,0.00034169844390017674
2989,licensing,0.00033819149406119116
