,term,weight
7018,abath,0.0027946072834477993
4178,heist,0.002335068555345427
1396,shelley,0.0020371863616273516
728,thieves,0.001891673050082541
5194,donati,0.001863071522298533
6672,artwork,0.0014097619466684203
13,youngworth,0.0013973036417238996
1044,stolen,0.00122306772824538
3057,mta,0.001222311816976411
1091,state,0.0011887374620844202
4689,ferrara,0.001164419701436583
6253,bulger,0.0010185931808136758
3192,merlino,0.0009315357611492665
4716,fbi,0.0008993936380765423
3245,mcdevitt,0.0008730798692688649
6090,chaffee,0.0008545760131156031
294,via,0.0008512572367563424
4138,hires,0.0008339530554805095
3697,keenan,0.0008157316488830757
441,underwater,0.0008157316488830757
4440,gardner,0.0007941998235359611
3216,meehan,0.000768770951828534
3071,motley,0.000768770951828534
4443,garage,0.0007507598686855711
4929,equal,0.0007455183169504605
3650,krantz,0.0007338786888228484
5422,deleo,0.0007306638376530843
858,sword,0.0007275665577240541
739,theft,0.0007250204297151876
3268,maternity,0.000700520566603628
1894,rembrandt,0.0006986518208619498
5132,duct,0.0006986518208619498
3288,mashberg,0.0006986518208619498
3325,mann,0.0006671624443844076
479,umass,0.0006602773843084485
1607,said,0.0006120520353212808
1585,sannicandro,0.0006054982447470232
3306,marijuana,0.0005831305301339517
4518,fragments,0.0005826654634879111
6808,amore,0.0005826654634879111
4091,horace,0.0005820532461792434
3540,legislature,0.0005657900459659376
6097,cents,0.0005639047786673682
6519,beacon,0.0005609530477326733
4206,hea,0.0005589214566895599
6495,begley,0.0005589214566895599
1003,strolling,0.0005589214566895599
1402,shaw,0.0005444632150003256
6190,canal,0.0005444632150003256
6071,chancellor,0.0005437653222863907
736,theories,0.0005337299555075261
1660,rosenberg,0.0005189049625111081
12,zakim,0.0005125139678856894
4442,garages,0.0005003718332883057
3789,ivanka,0.0005003718332883057
4113,holmes,0.000492403890592296
1473,senator,0.0004890943587469988
1841,republican,0.00047270117462060304
1186,speaker,0.00047146723712957795
3930,inequities,0.0004670137110690853
2583,passover,0.0004670137110690853
5958,clf,0.00046576788057463325
3416,lorenz,0.00046576788057463325
1241,soffer,0.00046576788057463325
4454,galilee,0.00046576788057463325
4285,guarente,0.00046576788057463325
3531,leniency,0.00046576788057463325
5298,dimuzio,0.00046576788057463325
1893,rembrandts,0.00046576788057463325
4415,gentile,0.00046576788057463325
10,zealot,0.00046576788057463325
1924,reissfelder,0.00046576788057463325
6260,budget,0.00046369296636321084
3330,mandatory,0.00046320749676248096
1471,senators,0.00045012426683801386
3500,licenses,0.00044733186423371387
2393,politically,0.00044475190118013823
203,warren,0.00044018492287229897
2572,patrick,0.0004394132207239274
6803,amsterdam,0.00043653993463443246
4516,frames,0.00043653993463443246
729,thief,0.00043653993463443246
5321,diaz,0.00043103337854192447
4595,fleming,0.00042728800655780156
3702,kaufman,0.00042728800655780156
3543,legislative,0.00042602856540467795
4425,gender,0.00042434253447445327
6048,charter,0.000415730204934949
1475,sen,0.0004074372723254703
5396,dempsey,0.0004074372723254703
6192,campus,0.0004035253929688075
1474,senate,0.0004035253929688075
735,theory,0.0004027891276195487
5181,dots,0.00040029746663064453
6047,charters,0.00040029746663064453
5315,diehl,0.00040029746663064453
1962,reform,0.0003994270596433824
1600,salem,0.0003917008010533415
