,term,weight
14028,hernandez,0.001851444828674732
11563,lloyd,0.001449364399293791
5417,said,0.0009549446090861022
17372,dos,0.0006974229784898132
21769,bella,0.0005991773362011519
1836,tsarnaev,0.0005873471064072041
12456,jurors,0.000532340302405471
17513,divan,0.0005243174561348696
7720,police,0.0005103656344628994
12640,jenkins,0.00048068463963836327
10078,murder,0.00042745156492251575
127,yancey,0.00041559959915228833
17834,dicicco,0.0003982157894695212
21386,bollerman,0.0003982157894695212
17386,dorchester,0.0003933115642676061
7142,prosecutors,0.0003796768558966581
18343,deandrade,0.00037830499999604516
805,wallace,0.00037480454647476313
15093,garsh,0.0003706290377144192
4460,singleton,0.0003293386287313007
8980,officers,0.00031488328216825335
15730,fireworks,0.00028614061101937506
16494,essaibi,0.0002855410247404009
8216,penalty,0.00028046598715798603
21256,bouley,0.0002767551501943703
22876,amoroso,0.0002756939771461643
21364,bond,0.00027470732365264934
7145,prosecution,0.0002738638209712457
8798,ortiz,0.00026558039738426966
3156,sultan,0.0002566805994119461
18214,defense,0.00025591206261086437
23464,according,0.00025579165987896343
20572,capuano,0.00025012895648707104
1664,umass,0.0002493039812209601
17370,dosouto,0.0002490796351749333
2541,testimony,0.0002485948522536694
16431,evans,0.0002468396914560082
15425,forry,0.00024536439814376153
10756,meehan,0.00024467095724845113
17387,dorcena,0.00024083037603137234
847,wahlberg,0.00024077698066910216
6699,rauch,0.00023892947368171273
3636,state,0.00023756908438791292
2545,testified,0.00023451250184120415
5320,santos,0.00023336705330564733
9004,odin,0.00023223006111717395
12557,johnson,0.0002320343822540052
7399,pressley,0.00023074701670725212
21788,beldo,0.0002190186842082367
3504,stizz,0.00021586901715160882
22305,attleborough,0.00021523192819628207
8951,old,0.0002150729484052906
6865,rachelle,0.0002139004995099551
19944,cirilo,0.00021238175438374464
18858,court,0.0002119253841313461
16030,fannie,0.0002103339141477214
4724,sheppeck,0.00020906328947149864
2811,tamerlan,0.00020850415106071833
10707,melvin,0.0002073482688546196
14051,hendricks,0.00020574482455925264
14248,hartin,0.0002024263596470066
1226,va,0.00020231801250450516
21236,bowdoin,0.00020142557259528085
18471,dambreville,0.0001992637081399466
2613,tench,0.0001991078947347606
8143,periscope,0.0001991078947347606
20388,cb,0.0001991078947347606
7982,piedad,0.0001991078947347606
5277,savin,0.00019905433810043482
17527,district,0.00019559421653699504
18900,could,0.00019443088956409317
21041,bristol,0.00019358857831036652
13764,horton,0.00019353043348634697
5669,rodney,0.0001925104495589596
20661,campbell,0.0001916562723158019
10067,murphy,0.0001909366799773478
1917,trina,0.0001901337773421823
15749,firearm,0.00018953971341097517
109,year,0.00018922531530369733
133,yadielys,0.0001881935021321718
16042,family,0.0001878798169977251
14477,guilty,0.0001868799069932902
10133,moynihan,0.00018622739826044707
5659,rohla,0.00018583403508577658
183,xa0,0.00018477007057329727
1943,trial,0.00018317898538716267
7825,pleaded,0.00018279452788033548
13865,home,0.00018182316500240373
8938,olympic,0.00018071458276313417
14457,guns,0.0001806215172430739
979,violence,0.00017851624757730762
3585,steele,0.00017712329612439698
11294,mae,0.00017587374404151864
14468,gun,0.00017496400014954886
7608,possession,0.00017423297483254717
11402,lu,0.00017417254583788048
10753,meerkat,0.00017256017543679255
12835,ioc,0.00017002558046078808
245,would,0.00016826738858477522
12859,investigators,0.00016726365583924529
5192,school,0.0001667574515012794
4749,shayanna,0.00016636705517440953
15877,ferris,0.0001660530901166222
15753,finnegan,0.0001659232456123005
15046,geico,0.0001659232456123005
15432,former,0.00016464095702677155
12455,jury,0.00016346455440847135
8193,people,0.00016325439746756908
4340,slaying,0.00016296335900315489
10198,mother,0.000162931881348293
10685,men,0.00016276324642992154
14794,goldberg,0.00016214138590786584
20973,bruins,0.00016183166901007743
20477,carvalho,0.0001617316497066033
12349,kennedy,0.0001608644544399992
4631,shot,0.00016084301107459692
14017,hershey,0.00016051798711273475
17984,dershowitz,0.0001592863157878085
4941,senate,0.00015891815478515333
3305,students,0.0001585853981632114
8167,perez,0.00015686036630730042
15420,fortier,0.00015596785087556246
18336,death,0.00015533598944394365
2967,sweeney,0.00015516587985913924
18081,denise,0.00015504152905161263
14921,gilmore,0.00015498288410884737
2450,think,0.00015267742727742139
15013,gennis,0.00015264938596331646
19930,city,0.00015123529828294226
288,work,0.0001509218793119884
20187,charter,0.0001499109607012363
18367,dcf,0.00014971222213094765
17155,dunham,0.00014944778110495996
23018,allegedly,0.00014822617816823798
10874,mccarthy,0.0001480980286076651
17879,devin,0.0001473536774401913
12734,jackson,0.00014635569885933962
17376,dorms,0.00014631976610605046
5037,sebastian,0.0001460607045179977
16877,ellin,0.00014601245613882444
4509,silber,0.00014601245613882444
16930,election,0.00014577492227656446
23591,aaron,0.0001457395760956528
2183,torres,0.00014546801236794304
19494,community,0.00014437080674562037
3187,suffolk,0.0001428796086019869
19259,conley,0.00014287103936268868
14160,healey,0.00014259293912776054
18318,debt,0.00014231854387200462
14020,heroin,0.00014231100539081618
11193,man,0.0001416514936048638
10959,mateo,0.00014099682282114133
2245,told,0.00014078625760553218
15751,fios,0.00013937552631433243
8182,percent,0.00013881492455198387
1813,tuesday,0.00013805533536154893
22506,arrested,0.0001378838180914279
8140,perjury,0.00013784698857308215
8981,officer,0.00013710584887350528
10993,massachusetts,0.00013658368275163568
1684,uber,0.00013640845739047502
22443,aspinwall,0.0001360570614020864
2414,three,0.0001358339400312848
280,working,0.0001355866704926354
17216,drugs,0.00013436284887294845
8341,patriots,0.00013411961662842988
18850,courtroom,0.00013329129378153912
11347,lyft,0.0001330936441395276
22247,authorities,0.00013307164730739878
18181,degeneres,0.0001327385964898404
20997,brookview,0.0001327385964898404
1891,troop,0.00013270289206695655
10185,motley,0.00013270289206695655
4475,since,0.00013235841643328695
21189,bradley,0.00013228910360273054
15414,forty,0.00013126866161288425
22304,attorney,0.00013064934075480834
13991,higgins,0.0001305740364390778
37,zero,0.0001304034256135526
6781,ramos,0.00012962887525972297
796,walsh,0.00012879655875765102
22094,bail,0.00012815852508215401
6825,rahim,0.000127803116453248
1103,verdean,0.000127803116453248
21894,bb,0.000127803116453248
11777,leventhal,0.000127803116453248
2704,teachers,0.00012755918436960602
5731,rivera,0.00012748453961726637
8976,officials,0.00012731329704451108
7409,president,0.0001268513948026337
2330,time,0.00012665352256363015
9692,new,0.00012641193263027083
11078,marijuana,0.0001264071538738923
10849,mcguire,0.00012626939787515216
11719,life,0.00012620085075965614
7601,postal,0.0001260722773855506
11743,library,0.000125268063051718
4656,shooting,0.00012495242182654635
4614,show,0.00012476252452893764
16530,ernest,0.00012415159884029804
3633,statement,0.00012362314074328522
22530,arming,0.0001235869552724185
5264,say,0.00012348153761889959
17107,dzhokhar,0.00012335420924544362
18221,defendant,0.00012326939199345345
2658,teen,0.00012222251925236616
12250,kinney,0.00012177226608552293
8462,pardons,0.00012177226608552293
21999,barbosa,0.00012177226608552293
3905,spence,0.00012177226608552293
10869,mcconnell,0.00012177226608552293
23511,academy,0.00012129935915659466
13462,immunity,0.00012026199593567936
21218,boy,0.00011989897225341558
5352,sanchez,0.00011983546724023037
20666,campaign,0.00011956591955271164
4248,smeglin,0.00011946473684085636
