,term,weight
3421,bulger,0.007895696332151142
98,whitey,0.006190119976635922
2947,depp,0.0038627189380004206
3303,chapman,0.003618722223551609
1664,movie,0.0030581719878144983
3135,connolly,0.0027309352838099654
2566,flemmi,0.0026336720031821053
2395,greenburg,0.0025263481100276227
2060,julien,0.002282515736091158
2424,goldberg,0.0021847482270479727
2810,edgerton,0.0021052900916896855
3211,cochrane,0.0021052900916896855
3025,cumberbatch,0.0021052900916896855
1305,plemons,0.0021052900916896855
902,sarsgaard,0.0021052900916896855
1640,mystique,0.0021052900916896855
1290,politic,0.0021052900916896855
1463,outlaws,0.001960141204423788
3154,composting,0.0019313594690002103
1847,mafia,0.0018093611117758045
2350,halloran,0.0017557813354547368
906,sanca,0.0016842320733517484
2571,flaherty,0.0015895158674484509
3385,canadiens,0.001580203201909263
3157,compost,0.001578542853369588
2220,hussey,0.0015078009264798372
1845,maia,0.0014046250683637893
2090,jeremiah,0.0013987739633546368
3083,cottone,0.0012631740550138114
2168,informant,0.001158292170244888
3439,bruins,0.0011487411401570264
652,southie,0.0011311552232355054
1576,nicholson,0.001055460648535886
744,sienna,0.001053468801272842
487,swears,0.001053468801272842
1799,martorano,0.0010526450458448427
2391,greig,0.0010526450458448427
2098,jai,0.0010526450458448427
3753,angiulo,0.0010526450458448427
2268,hitman,0.0010526450458448427
2835,dubuque,0.0010526450458448427
2376,grovels,0.0010526450458448427
2083,jez,0.0010526450458448427
861,screenwriters,0.0010526450458448427
3560,benedict,0.0010526450458448427
2287,hermetically,0.0010526450458448427
1564,noire,0.0010526450458448427
3236,clapboards,0.0010526450458448427
1230,problematically,0.0010526450458448427
2196,impunity,0.0010526450458448427
1499,offscreen,0.0010526450458448427
2570,flapjack,0.0010526450458448427
2354,hairline,0.0010526450458448427
2683,expletives,0.0010526450458448427
2362,gurgles,0.0010526450458448427
1833,mallouk,0.0010526450458448427
2510,franchella,0.0010526450458448427
3511,bogeyman,0.0010526450458448427
3408,butterworth,0.0010526450458448427
1773,meanest,0.0010526450458448427
1042,remixing,0.0010526450458448427
3330,cements,0.0010526450458448427
3039,croaks,0.0010526450458448427
754,shrift,0.0010526450458448427
3007,darcey,0.0010526450458448427
1682,mooks,0.0010526450458448427
262,unarticulated,0.0010526450458448427
42,worser,0.0010526450458448427
260,unchallenged,0.0010526450458448427
2017,klug,0.0010526450458448427
1875,louche,0.0010526450458448427
2981,decadence,0.0010526450458448427
237,unshowily,0.0010526450458448427
3404,bête,0.0010526450458448427
1895,loire,0.0010526450458448427
3791,alai,0.0010526450458448427
2080,jimmy,0.0010327938994758963
775,shoe,0.0010013429373969874
2644,fbi,0.0009533651085595673
2471,gangster,0.0009266337361959105
3110,convincing,0.0009103117612699886
3283,chats,0.0009046805558879023
1947,lehane,0.0009046805558879023
1662,movies,0.0008972848080560633
1105,realism,0.0008778906677273684
1650,murderer,0.0008778906677273684
1748,menacingly,0.0008778906677273684
1946,lehr,0.0008778906677273684
1862,lsd,0.0008778906677273684
3032,crucially,0.0008778906677273684
2955,demonic,0.0008778906677273684
2061,julianne,0.0008778906677273684
945,rory,0.0008778906677273684
3465,bravado,0.0008778906677273684
3111,conveying,0.0008778906677273684
3109,convincingly,0.0008778906677273684
1093,receding,0.0008778906677273684
697,slump,0.0008778906677273684
3846,acing,0.0008778906677273684
2462,gatsby,0.0008778906677273684
713,sketched,0.0008778906677273684
3762,amusingly,0.0008778906677273684
680,sociopath,0.0008778906677273684
2448,ghostbusters,0.0008778906677273684
876,schwartzman,0.0008778906677273684
1795,mass,0.0008728495430069468
960,rogaris,0.0008421160366758742
2049,karanja,0.0008421160366758742
2081,jihadis,0.0008421160366758742
2950,deossie,0.0008421160366758742
2411,gourdon,0.0008421160366758742
3609,banshee,0.0008421160366758742
781,sherburne,0.0008421160366758742
3814,affleck,0.0008108045191714217
1117,rat,0.000808783414009939
430,temple,0.000808783414009939
319,treasurer,0.000808783414009939
3106,cooper,0.000808783414009939
3859,accent,0.0007897595338579556
199,veiled,0.000789271426684794
3536,bins,0.000789271426684794
656,soundtrack,0.000789271426684794
3238,clan,0.000789271426684794
3596,bastard,0.0007539004632399186
2561,flinch,0.0007539004632399186
2400,graveyard,0.0007539004632399186
3358,cartoon,0.0007539004632399186
2296,heft,0.0007539004632399186
2055,juno,0.0007539004632399186
2817,echelon,0.0007539004632399186
558,stoner,0.0007539004632399186
1712,minimalist,0.0007539004632399186
519,subjectivity,0.0007539004632399186
1031,repressed,0.0007539004632399186
2444,gin,0.0007539004632399186
1446,pacino,0.0007539004632399186
3341,cathy,0.0007539004632399186
3203,collapsing,0.0007539004632399186
1365,perpetuity,0.0007539004632399186
41,worships,0.0007539004632399186
2199,impress,0.0007539004632399186
3282,cheat,0.0007539004632399186
1265,precedes,0.0007539004632399186
2192,incidentally,0.0007539004632399186
2,zombie,0.0007539004632399186
900,satan,0.0007539004632399186
3849,ache,0.0007539004632399186
3207,cohen,0.000727905072608945
2260,hollywood,0.000727905072608945
2000,lacking,0.0007179632125981414
68,wiseguys,0.0007023125341818946
3834,actor,0.0006993869816773184
2203,implies,0.000657726188903995
2872,doomed,0.000657726188903995
1663,moviegoers,0.000657726188903995
1859,lug,0.000657726188903995
1808,marianne,0.000657726188903995
1192,prosthetic,0.000657726188903995
1943,lenses,0.000657726188903995
705,slater,0.000657726188903995
947,rope,0.000657726188903995
2993,dazed,0.000657726188903995
3015,dakota,0.000657726188903995
1641,mystic,0.0006461668913383273
2751,episode,0.0006393486044374596
3532,black,0.0006385124511579526
91,wiersema,0.0006315870275069057
1630,narration,0.0006315870275069057
2630,feig,0.0006315870275069057
176,vineyards,0.0006315870275069057
3155,composter,0.0006315870275069057
2876,donahoo,0.0006315870275069057
183,vidiots,0.0006315870275069057
2484,funke,0.0006315870275069057
3531,blanc,0.0006315870275069057
2480,furst,0.0006315870275069057
1742,merieau,0.0006315870275069057
2793,ellard,0.0006315870275069057
1695,mob,0.0006152490648429461
3024,cup,0.0005901679425576549
3539,billy,0.0005901679425576549
2389,grievous,0.000579146085122444
2777,enclaves,0.000579146085122444
2701,exercises,0.000579146085122444
3031,crush,0.000579146085122444
1315,playbook,0.000579146085122444
3398,callahan,0.000579146085122444
580,stellar,0.000579146085122444
2112,ironically,0.000579146085122444
2073,johnny,0.0005743705700785132
325,trash,0.0005732418913201052
1792,matches,0.0005722257122814423
1357,phil,0.0005461870567619932
647,sparkler,0.000526734400636421
3389,cammarata,0.000526734400636421
19,yeast,0.000526734400636421
569,stillman,0.000526734400636421
2748,epix,0.000526734400636421
3253,cigar,0.0005261809511231959
1251,presenting,0.0005127075540357884
3420,bullied,0.0005127075540357884
1836,makeup,0.0005127075540357884
1079,recycling,0.0005127075540357884
2493,fugitive,0.0005127075540357884
3513,bodily,0.0005127075540357884
3142,conflicted,0.0005127075540357884
417,thankfully,0.0005127075540357884
1594,neponset,0.0005127075540357884
3548,biblical,0.0005127075540357884
3538,bin,0.0005127075540357884
3112,convey,0.0005127075540357884
2191,inclined,0.0005127075540357884
1639,myth,0.0005127075540357884
2251,hooked,0.0005127075540357884
2826,earl,0.0005127075540357884
2875,donahue,0.0005127075540357884
3265,chill,0.0005127075540357884
3839,acting,0.0005047227045315356
3483,bottle,0.0005047227045315356
3134,connor,0.000502574248818699
2984,deborah,0.00048527004840596337
84,wine,0.00047071853714790115
1383,penn,0.00046331686809795525
1135,rahim,0.00046331686809795525
2919,dies,0.00046331686809795525
571,sticks,0.0004551558806349943
2335,hanover,0.0004551558806349943
3311,chancellor,0.0004551558806349943
2895,dispatched,0.0004551558806349943
2580,fitted,0.0004551558806349943
3829,adapted,0.0004551558806349943
2922,dick,0.0004551558806349943
1903,loads,0.0004551558806349943
2924,devil,0.0004551558806349943
2646,favored,0.0004551558806349943
1099,reasonably,0.0004551558806349943
1656,mullen,0.0004551558806349943
2530,forsythe,0.00045234027794395113
116,weiner,0.00045234027794395113
3252,cigars,0.00045234027794395113
1523,n•,0.00044465920115448226
2859,drama,0.00044214534763583105
589,startups,0.00043077792755888487
749,sick,0.0004279259428617283
1239,primates,0.0004210580183379371
3433,bubbles,0.0004210580183379371
25,yandle,0.0004210580183379371
3741,ao,0.0004210580183379371
3636,awnings,0.0004210580183379371
1157,quaff,0.0004210580183379371
2479,fusco,0.0004210580183379371
3273,chenin,0.0004210580183379371
2401,grapes,0.0004210580183379371
3533,birkeland,0.0004210580183379371
968,roannaise,0.0004210580183379371
1741,mesh,0.0004210580183379371
3350,casting,0.0004101660432286308
914,said,0.0004061621267570367
1950,legend,0.0004043917070049695
2453,gerard,0.0004043917070049695
3141,confused,0.0004043917070049695
2456,genuine,0.0004043917070049695
3454,brien,0.0004043917070049695
389,throat,0.0004043917070049695
3863,absurd,0.0004043917070049695
3381,canvas,0.0004043917070049695
2086,jesse,0.0004043917070049695
2076,joel,0.0004043917070049695
