,word0,word1,word2,word3,word4,word5
0,dorchester,roxbury,jamaica_plain,upham’s,mattapan,hamambee
1,roxbury,kemble,dorchester,mattapan,kalvin,nazzaro
2,mattapan,roxbury,hyde_park,straddles,dorchester,jamaica_plain
3,hyde_park,roslindale,mattapan,jamaica_plain,devine,dorchester
4,fenway,stenciled,tiant,officialdom,“dominican,park
5,beacon_hill,levers,bylaws,associations,back_bay,wrko
6,downtown,crossing’s,waterfront,rowes,newmarket,dallas’s
7,south_boston,dorchester,charlestown,funnels,jamaica_plain,devine
8,east_boston,jamaica_plain,chittick,englewood,“woefully,charlestown
9,back_bay,downtown,bellflower,1850s,attractions,hornblower
10,jamaica_plain,dorchester,hyde_park,slivers,mattapan,straddles
11,south_end,jamaica_plain,quinzani’s,bellflower,nazzaro,mission_hill
12,charlestown,jamaica_plain,simulate,mission_hill,south_boston,east_boston
13,brighton,allston,d’alcomo,mission_hill,jamaica_plain,“pools
14,allston,mission_hill,officialdom,longwood_medical_area,brighton,pike’s
15,west_end,resisters,monadnock,palladio,blight,bulldozed
16,roslindale,hyde_park,nazzaro,dorchester,jamaica_plain,cliftondale
17,north_end,clapboards,nazzaro,allston,southie,south_end
18,mission_hill,allston,jamaica_plain,brighton,d’alcomo,neighborhoods
19,harbor_islands,boater,cleanest,andaman,eng’s,unchanging
20,longwood_medical_area,underdeveloped,underutilized,standard”,rezone,downtown’s
21,underdeveloped,underutilized,developable,village’s,chiofaro’s,inexpensively
22,underutilized,underdeveloped,developable,underused,chiofaro’s,rezone
23,standard”,“gold,downtown’s,underdeveloped,“peninsula,inaugurate
24,rezone,redesigning,chiofaro’s,underutilized,developable,undeveloped
25,downtown’s,subdistricts,cavallari,edlen,tolerating,boston’score
