,word0,word1,word2,word3,word4,word5,original_tuple
0,"[('black', 0.787032425403595)]",white,cochairs,“bullying,lgbtqa,latino,black dorchester
1,"[('cape_verdean', 0.8804564476013184)]",nrosario,jaasiel,njoão,verdeans,shante,cape_verdean dorchester
2,"[('haitian', 0.8809912204742432)]",borges,dambreville,”st,randolph’s,guillen,haitian dorchester
3,"[('african_american', 0.7961187958717346)]",caucasian,black,numbers”,”forry,”stith,african_american dorchester
4,"[('caribbean', 0.8269938826560974)]",carnival,nsupport,puerto,masquerade,lowell■,caribbean dorchester
5,"[('dorchester', 0.8977986574172974)]",annapolis,vicinity,upham’s,roslyn,archdale,jamaican dorchester
6,"[('dominican', 0.8489002585411072)]",republic,puerto,rican,manoguayabo,verde,dominican dorchester
7,"[('roxbury', 0.8298706412315369)]",kemble,kalvin,silvestre,pasciucco,sandtown,black roxbury
8,"[('cape_verdean', 0.8589710593223572)]",nrosario,jaasiel,njoão,verdeans,shante,cape_verdean roxbury
9,"[('haitian', 0.8674781322479248)]",borges,dambreville,”st,randolph’s,guillen,haitian roxbury
10,"[('african_american', 0.8030080795288086)]",caucasian,black,numbers”,”forry,”stith,african_american roxbury
11,"[('caribbean', 0.8083213567733765)]",carnival,nsupport,puerto,masquerade,lowell■,caribbean roxbury
12,"[('roxbury', 0.8746882081031799)]",kemble,kalvin,silvestre,pasciucco,sandtown,jamaican roxbury
13,"[('dominican', 0.8321179747581482)]",republic,puerto,rican,manoguayabo,verde,dominican roxbury
14,"[('mattapan', 0.8452557325363159)]",ncampbell,slivers,straddles,terminus,councillor,black mattapan
15,"[('cape_verdean', 0.8364300727844238)]",nrosario,jaasiel,njoão,verdeans,shante,cape_verdean mattapan
16,"[('haitian', 0.8641555905342102)]",borges,dambreville,”st,randolph’s,guillen,haitian mattapan
17,"[('mattapan', 0.8456573486328125)]",ncampbell,slivers,straddles,terminus,councillor,african_american mattapan
18,"[('mattapan', 0.8105049133300781)]",ncampbell,slivers,straddles,terminus,councillor,caribbean mattapan
19,"[('mattapan', 0.8928737044334412)]",ncampbell,slivers,straddles,terminus,councillor,jamaican mattapan
20,"[('dominican', 0.8311552405357361)]",republic,puerto,rican,manoguayabo,verde,dominican mattapan
21,"[('hyde_park', 0.8072255253791809)]",ncampbell,radosta,hennigan,devine,readville,black hyde_park
22,"[('cape_verdean', 0.852100133895874)]",nrosario,jaasiel,njoão,verdeans,shante,cape_verdean hyde_park
23,"[('haitian', 0.8603754043579102)]",borges,dambreville,”st,randolph’s,guillen,haitian hyde_park
24,"[('hyde_park', 0.7922151684761047)]",ncampbell,radosta,hennigan,devine,readville,african_american hyde_park
25,"[('caribbean', 0.8258336782455444)]",carnival,nsupport,puerto,masquerade,lowell■,caribbean hyde_park
26,"[('hyde_park', 0.886834979057312)]",ncampbell,radosta,hennigan,devine,readville,jamaican hyde_park
27,"[('dominican', 0.8406999707221985)]",republic,puerto,rican,manoguayabo,verde,dominican hyde_park
