,word0,word1,word2,word3,word4,word5
0,nutter,initialing,nurse,throat”,“cut,mcclennen
1,draftkings,fanduel,dailymvp,points’’,“frequent,expedia
2,darton,brigitte,reassured,nbahnassi,t“he’s,tjung
3,fantasy,gambling,”daily,distinguishable,“leaves,skill”
4,waible,initialing,throat”,wix,nurse’s,beyaztas’s
5,spectra,pipeline,kinder,pipeline’s,eversource,algonquin
6,shulkin,n“secretary,“secretary,nshulkin,derelictions”,nhealey’s
7,va,lynchburg,wahl,dicicco,pallas,“delay
8,serra,junipero,ayoob,”brady,“shaped,padre
9,pagliarulo,pagliarulo’s,mayor“,“expected”,“coerce,threats”
10,ferc,mckerlie,kinder,frowns,pipeline’s,“information
11,wehner,pateras,darcy’s,wehner’s,galloway,hygienist
12,pipeline,spectra,kinder,pipeline’s,pipelines,“lateral
13,latin,mitboston,shariff,rindge,o’bryant,prioleau
14,obie,red’s,“obie,“red”,remigia,marines
