,word0,word1,word2,word3,word4,word5
0,dorchester,chinatown,ncampbell,businesswoman,manor,newtowne
1,roxbury,chinatown,bromley,newtowne,restriction,moreland
2,mattapan,ncampbell,sanon,carpetbagger,precincts,groveland
3,hyde_park,ncampbell,chelsea,hennigan,chinatown,odyssey
4,fenway,1927,eastie,blackstone,harambee,park’s
5,beacon_hill,chan,bylaws,bordered,associations,erect
6,downtown,crossing’s,eyesore,newmarket,crossing,fallow
7,south_boston,banker,waterfront,ambushed,boycotted,chinatown
8,east_boston,codman,manor,chelsea,chinatown,bromley
9,back_bay,1850s,attractions,renovated,blighted,brownstones
10,jamaica_plain,chinatown,restriction,jp,ncampbell,hennigan
11,south_end,chinatown,encompasses,refuge,straddles,restriction
12,charlestown,chinatown,orient,restriction,jeffries,bunker
13,brighton,codman,chinatown,hennigan,higginson,d’alcomo
14,allston,dorchester’s,chinatown,firehouse,heath,packard’s
15,west_end,blighted,blight,artery,revitalization,crossing’s
16,roslindale,ncampbell,matos,26,cvs,chinatown
17,north_end,chinatown,seaport,abuts,amory,bounded
18,mission_hill,chinatown,restriction,dorchester’s,dasco,apartments
19,harbor_islands,1881,lucilles,fogg,1850,swimmer
20,longwood_medical_area,undeveloped,redesigned,dasco,site’s,fallow
21,undeveloped,quarry’s,dotblock,rezone,envisions,boulevard”
22,redesigned,”zahedi,edwards’s,“communities,frontage,mirebalais
23,dasco,dotblock,piers,meetinghouse,blocks”,utile
24,site’s,olmsted’s,rezone,swap,redeveloped,rezoning
25,fallow,warehouses,crammed,crossing’s,farmland,cottages
