,word0,word1,word2,word3,word4,word5
0,man,woman,bystander,innocent”,flees,gunman
1,woman,man,distraught,legrice,attackers,rios
2,men,women,gunning,harming,gunpoint,escort
3,women,men,sexualized,harshly,succumb,chauvinistic
4,male,males,skinned,female,hooded,statistic
5,female,male,males,“problem,latina,playwrights
6,person,someone,linkedin,”hernandez,retaliate,drago
7,people,“young,souls,injustices,“somebody,“folks
8,community,educations,engagement,tenpoint,homefront,cadet
9,neighborhood,bromley,grocer,revitalization,stabilization,heath
10,child,children,mother,gideanne,“seriously,girl
11,children,families,child,daughters,kids,mothers
12,kid,meanest,beldo,fernandes,gook,ached
13,youth,folgert,antiviolence,collaborative,homefront,mosque’s
14,business,startups,entrepreneurs,invests,workspace,oddleifson
15,company,company’s,llc,consulting,ameresco,companies
16,black,white,latino,heighten,statistic,caucasian
17,haitian,borges,dambreville,cofounded,nepali,fahmy
18,caribbean,mecca,archipelago,masquerade,lowell■,medieval
19,jamaican,wales,arbutus,rectory,commons,armchairs
20,dominican,republic,verde,puerto,emigrated,journeyed
21,republic,dominican,emigrated,puerto,verde,bophuthatswana
22,verde,journeyed,jamaican,boyhood,bohemian,dominican
23,puerto,rican,rico,emigrated,republic,dominican
24,emigrated,1st,boyhood,runci,bophuthatswana,rico
25,journeyed,boldly,verde,debater,guatemala,osman
