,0
mattapan,"[('south_end', 0.9510290026664734)]"
dorchester,"[('south_end', 0.9278634786605835)]"
dudley,"[('dudley', 0.9517134428024292)]"
roxbury,"[('south_end', 0.9240021109580994)]"
grove_hall,"[('grove_hall', 0.9593591094017029)]"
hyde_park,"[('parish', 0.9362207651138306)]"
neponset,"[('grove', 0.9781159162521362)]"
andrew_square,"[('richmond', 0.9851812720298767)]"
washington,"[('washington', 0.9362013936042786)]"
mount_hope,"[('mount_hope', 0.9912118315696716)]"
shawmut,"[('richmond', 0.9782523512840271)]"
boston,"[('mounted', 0.9078092575073242)]"
