,word0,word1,word2,word3,word4,word5
0,tom,“tommy,predecessor,sentiments,menino,niceness
1,menino,mr,mayor,tom,menino’s,thomas
2,dawn,wandered,drifted,irate,dusk,intermission
3,cared,uncomfortable,”now,smooch,keisha,differently
4,martin,j,luther,”mayor,unmatched,“front
5,met,pundits,“action,apologized,consulted,sidled
6,parish,chapel,tran,jubilee,rectory,liz
7,talked,inquiring,cared,complain,forgot,gracious
8,cambridge,waltham,longwood,faulkner,manor,vernon
9,almost,sixty,nearly,sammarco,audacious,cleaner
10,vicious,deandre,measly,posterization,chebet,”noting
11,debate,discomfort,topic,elicit,independents,caucus
12,sid,arianna,“‘i,bingel,chuckling,exclaims
13,guy,relish,cop,gentleman,”“he,thug
14,neighborhoods,outlying,underserved,residents,suburbs,densely
