,weights
00,8.335633981927202
nstec,8.335633981927202
nsun,8.335633981927202
dy,8.335633981927202
dyc,8.335633981927202
dye,8.335633981927202
nsuber,8.335633981927202
nsuazo,8.335633981927202
dyke,8.335633981927202
nstutman,8.335633981927202
nstudies,8.335633981927202
dym,8.335633981927202
nstuart,8.335633981927202
nstreets,8.335633981927202
dynamism,8.335633981927202
nstrassmann,8.335633981927202
dynamo,8.335633981927202
dynasties,8.335633981927202
nstoughton,8.335633981927202
nstore,8.335633981927202
nstith,8.335633981927202
nstidman,8.335633981927202
nsteve,8.335633981927202
dysphoria,8.335633981927202
dystopian,8.335633981927202
dystrophy,8.335633981927202
dzen,8.335633981927202
dzhokar,8.335633981927202
nstephen,8.335633981927202
nsunday,8.335633981927202
nsuperintendent,8.335633981927202
dwindle,8.335633981927202
nthompson,8.335633981927202
ntogether,8.335633981927202
durkin,8.335633981927202
dusel,8.335633981927202
ntitciana,8.335633981927202
dusky,8.335633981927202
ntime,8.335633981927202
ntido,8.335633981927202
dusts,8.335633981927202
nthursday,8.335633981927202
dutcher,8.335633981927202
nthrough,8.335633981927202
nthorbahn,8.335633981927202
dutrizac,8.335633981927202
dwight,8.335633981927202
dutton,8.335633981927202
nthink,8.335633981927202
nthings,8.335633981927202
duvy,8.335633981927202
ntench,8.335633981927202
duxbury76,8.335633981927202
ntechboston,8.335633981927202
nteachers,8.335633981927202
dwayne,8.335633981927202
ntamobi,8.335633981927202
ntamerlan,8.335633981927202
nsupport,8.335633981927202
nstein,8.335633981927202
díaz,8.335633981927202
ntommy,8.335633981927202
dürer,8.335633981927202
nsimmons,8.335633981927202
nsimmering,8.335633981927202
nsimilar,8.335633981927202
eartha,8.335633981927202
earthfest,8.335633981927202
earthquakes,8.335633981927202
eascare,8.335633981927202
nshock,8.335633981927202
nshellee,8.335633981927202
easel,8.335633981927202
nsheldon,8.335633981927202
eases,8.335633981927202
nsheffield,8.335633981927202
nshawsheen,8.335633981927202
nshapiro,8.335633981927202
nshaevel,8.335633981927202
easler,8.335633981927202
nset,8.335633981927202
nserious,8.335633981927202
nsenatorof,8.335633981927202
nsenator,8.335633981927202
nsenate,8.335633981927202
easthampton,8.335633981927202
nsebastian,8.335633981927202
nseattle,8.335633981927202
eastward,8.335633981927202
eastwood,8.335633981927202
earring,8.335633981927202
earpieces,8.335633981927202
nsingh,8.335633981927202
nsoups,8.335633981927202
eachrosette,8.335633981927202
nstaying,8.335633981927202
nstarting,8.335633981927202
nstarted,8.335633981927202
nstacey,8.335633981927202
nspread,8.335633981927202
eain,8.335633981927202
eappen,8.335633981927202
