mapc_id,TransitScore,WalkScore,BikeScore
572,,7.0,21.0
944,,29.0,24.0
963,,29.0,24.0
977,,29.0,29.0
1035,,21.0,11.0
1081,,25.0,19.0
2363,,22.0,20.0
2417,,10.0,34.0
2472,,22.0,24.0
2507,,12.0,23.0
2634,,12.0,24.0
2647,,7.0,23.0
2651,,37.0,25.0
2662,,7.0,23.0
2669,,26.0,36.0
2670,,24.0,31.0
2776,,25.0,34.0
2879,,7.0,14.0
3451,,2.0,21.0
3849,,24.0,31.0
3864,,20.0,31.0
4775,,6.0,13.0
5836,,31.0,55.0
5948,,45.0,35.0
5950,,43.0,30.0
6929,,13.0,23.0
7040,,0.0,28.0
7114,,0.0,19.0
7117,,0.0,34.0
7118,,0.0,35.0
7241,,0.0,3.0
7308,,0.0,24.0
7358,,0.0,22.0
7359,,0.0,23.0
7361,,0.0,21.0
7365,,0.0,27.0
7366,,0.0,20.0
7369,,0.0,23.0
7381,,0.0,20.0
7383,,0.0,20.0
7384,,0.0,24.0
7387,,0.0,17.0
7474,,17.0,24.0
7488,,7.0,20.0
7529,,13.0,26.0
7581,,17.0,23.0
7605,,0.0,25.0
7606,,0.0,27.0
8060,,0.0,28.0
8105,,0.0,31.0
8107,,0.0,23.0
8109,,0.0,35.0
8119,,0.0,13.0
8132,,0.0,13.0
8133,,0.0,24.0
8137,,0.0,24.0
8179,,2.0,13.0
8180,,4.0,21.0
8181,,2.0,14.0
8183,,5.0,12.0
8185,,5.0,12.0
8196,,1.0,36.0
8197,,0.0,13.0
8198,,4.0,20.0
8205,,0.0,27.0
8232,,0.0,23.0
8240,,0.0,13.0
8255,,1.0,33.0
8346,,0.0,8.0
8773,,2.0,11.0
8774,,3.0,3.0
8775,,4.0,2.0
10236,,51.0,31.0
10754,,0.0,24.0
10858,,0.0,25.0
10861,,0.0,17.0
10865,,0.0,31.0
10867,,0.0,33.0
10910,,0.0,30.0
10989,,4.0,
11020,,9.0,20.0
11025,,4.0,17.0
11026,,8.0,2.0
11065,,9.0,21.0
11081,,4.0,
11099,,5.0,15.0
11101,,8.0,9.0
11102,,4.0,2.0
11104,,5.0,4.0
11110,,2.0,19.0
11118,,5.0,2.0
11120,,5.0,22.0
11121,,5.0,2.0
11122,,5.0,3.0
11123,,5.0,2.0
11124,,8.0,3.0
11125,,5.0,4.0
11135,,10.0,13.0
11137,,5.0,2.0
11139,,5.0,9.0
11140,,5.0,5.0
11141,,5.0,6.0
11143,,5.0,7.0
11145,,5.0,18.0
11147,,14.0,3.0
11149,,5.0,7.0
11157,,8.0,15.0
11169,,8.0,8.0
11171,,5.0,7.0
11180,,5.0,7.0
11181,,5.0,7.0
11194,,4.0,8.0
11197,,4.0,8.0
11200,,1.0,2.0
11207,,5.0,4.0
11214,,4.0,5.0
11235,,9.0,8.0
11236,,4.0,6.0
11237,,4.0,6.0
11238,,21.0,15.0
11808,,9.0,25.0
12123,,36.0,33.0
12497,,31.0,26.0
12589,,5.0,22.0
12767,,31.0,29.0
12835,,37.0,36.0
12837,,37.0,36.0
12857,,33.0,34.0
12916,,21.0,6.0
12945,,6.0,2.0
13934,,62.0,42.0
14049,,36.0,17.0
14074,,17.0,16.0
14327,,40.0,20.0
14329,,40.0,20.0
14367,,37.0,24.0
14989,,28.0,33.0
14991,,30.0,36.0
15006,,31.0,40.0
15023,,28.0,33.0
15024,,28.0,36.0
15162,,25.0,16.0
15208,,9.0,17.0
15253,,3.0,26.0
15261,,6.0,10.0
15296,,1.0,5.0
15297,,1.0,4.0
15319,,21.0,19.0
15419,,0.0,18.0
16268,,0.0,14.0
16272,,0.0,18.0
16421,,1.0,19.0
16422,,0.0,14.0
16551,,14.0,32.0
17977,,21.0,21.0
18745,,27.0,22.0
18791,,30.0,14.0
18973,,7.0,27.0
18974,,12.0,28.0
18996,,31.0,18.0
19538,,55.0,40.0
19595,,23.0,32.0
19725,,46.0,33.0
20603,,24.0,25.0
20736,,23.0,20.0
20833,,29.0,31.0
20897,,32.0,34.0
20912,,24.0,30.0
21030,,34.0,23.0
21031,,34.0,23.0
21408,,3.0,25.0
21745,,37.0,19.0
21788,,38.0,22.0
22111,,7.0,22.0
22203,,54.0,34.0
22272,,19.0,22.0
22273,,19.0,22.0
22282,,13.0,28.0
22381,,35.0,7.0
22649,,6.0,27.0
22650,,6.0,20.0
22651,,10.0,16.0
22981,,3.0,24.0
23038,,1.0,17.0
23151,,0.0,19.0
23153,,0.0,22.0
23155,,0.0,5.0
23156,,0.0,9.0
23163,,0.0,15.0
23164,,0.0,3.0
23167,,0.0,23.0
23183,,0.0,25.0
23295,,0.0,
23339,,0.0,
23340,,0.0,
23345,,5.0,11.0
23346,,4.0,23.0
23348,,4.0,16.0
23349,,4.0,11.0
23361,,4.0,18.0
23373,,4.0,20.0
23375,,4.0,22.0
23390,,4.0,23.0
23392,,4.0,1.0
23428,,1.0,11.0
23437,,4.0,1.0
23442,,5.0,1.0
23459,,3.0,14.0
23463,,4.0,3.0
23584,,5.0,7.0
23603,,5.0,12.0
23712,,4.0,11.0
23723,,1.0,12.0
23772,,4.0,10.0
23787,,9.0,1.0
23799,,2.0,1.0
23888,,4.0,3.0
23902,,9.0,1.0
23928,,9.0,1.0
23935,,9.0,1.0
23943,,9.0,1.0
24013,,6.0,1.0
24024,,3.0,1.0
24025,,6.0,1.0
24039,,3.0,1.0
24047,,3.0,1.0
24049,,3.0,1.0
24050,,3.0,1.0
24062,,5.0,13.0
24168,,15.0,8.0
24262,,16.0,12.0
24289,,23.0,12.0
24343,,6.0,20.0
24383,,1.0,8.0
24409,,1.0,1.0
24410,,2.0,1.0
24412,,4.0,1.0
24414,,4.0,14.0
24429,,2.0,1.0
24438,,4.0,1.0
24446,,2.0,1.0
24456,,6.0,1.0
24460,,2.0,1.0
24499,,4.0,1.0
24541,,4.0,5.0
24601,,5.0,17.0
24622,,1.0,21.0
24664,,4.0,10.0
24686,,4.0,12.0
24735,,4.0,16.0
24792,,3.0,14.0
24806,,0.0,4.0
25331,,0.0,8.0
25403,,4.0,4.0
25541,,19.0,25.0
25848,,14.0,25.0
25914,,4.0,21.0
26006,,16.0,19.0
26187,,2.0,11.0
26214,,0.0,12.0
26262,,0.0,2.0
26301,,0.0,
26384,,0.0,12.0
27682,,1.0,21.0
27683,,0.0,
29006,,0.0,16.0
29007,,12.0,11.0
29029,,4.0,5.0
29044,,0.0,
29055,,4.0,5.0
29112,,4.0,1.0
29136,,1.0,10.0
29558,,0.0,22.0
29888,,0.0,13.0
30075,,0.0,
30076,,0.0,4.0
30081,,0.0,
30152,,5.0,4.0
30393,,7.0,21.0
30401,,5.0,5.0
31156,,4.0,14.0
32142,,4.0,8.0
32244,,0.0,12.0
32747,,18.0,18.0
33070,,32.0,19.0
33084,,3.0,26.0
33331,,14.0,12.0
33503,,2.0,2.0
33604,,40.0,20.0
33651,,12.0,27.0
33680,,33.0,29.0
33726,,5.0,21.0
33872,,2.0,1.0
33876,,4.0,6.0
33877,,4.0,1.0
33878,,4.0,13.0
33885,,4.0,9.0
34152,,30.0,31.0
34153,,42.0,31.0
34165,,31.0,31.0
34935,,3.0,12.0
34950,,1.0,19.0
34951,,3.0,12.0
34953,,3.0,16.0
34959,,4.0,3.0
34967,,4.0,20.0
34969,,4.0,10.0
36606,,5.0,3.0
36866,,0.0,17.0
36874,,4.0,7.0
37019,,14.0,21.0
37020,,1.0,3.0
37328,,2.0,10.0
37349,,3.0,18.0
37447,,1.0,4.0
37457,,4.0,16.0
37464,,3.0,6.0
37465,,6.0,20.0
37472,,6.0,22.0
37542,,7.0,21.0
37543,,2.0,10.0
37544,,2.0,10.0
37561,,3.0,6.0
37586,,1.0,20.0
37619,,6.0,20.0
37620,,6.0,20.0
37621,,13.0,13.0
37622,,1.0,17.0
37632,,6.0,20.0
37634,,6.0,20.0
37635,,7.0,21.0
37649,,4.0,24.0
37651,,5.0,12.0
37661,,6.0,19.0
37662,,12.0,15.0
37663,,1.0,17.0
37666,,7.0,24.0
37672,,0.0,28.0
37679,,2.0,6.0
37682,,7.0,9.0
37718,,1.0,17.0
37731,,4.0,22.0
37732,,1.0,22.0
37743,,4.0,17.0
37787,,0.0,30.0
37812,,1.0,30.0
37820,,14.0,28.0
37828,,14.0,28.0
37831,,7.0,8.0
37845,,11.0,16.0
37883,,11.0,16.0
37895,,2.0,13.0
37941,,5.0,12.0
37956,,11.0,23.0
37958,,11.0,23.0
37960,,7.0,15.0
37983,,10.0,19.0
38039,,11.0,20.0
38069,,2.0,15.0
38152,,4.0,16.0
38233,,21.0,30.0
38234,,16.0,33.0
38960,,3.0,4.0
38968,,4.0,4.0
38993,,5.0,4.0
38994,,5.0,10.0
39005,,4.0,4.0
39006,,4.0,4.0
39016,,4.0,4.0
39196,,5.0,4.0
39199,,5.0,4.0
39203,,5.0,6.0
39205,,5.0,4.0
39206,,5.0,4.0
39210,,5.0,4.0
39212,,5.0,3.0
39213,,5.0,3.0
39214,,5.0,4.0
39216,,5.0,4.0
39612,,31.0,40.0
39614,,32.0,45.0
39683,,5.0,4.0
39685,,5.0,4.0
39718,,45.0,52.0
39730,,21.0,37.0
39738,,36.0,49.0
39801,,37.0,39.0
